set_id,set_kind,target_id,positive_target,family,params,core_rank,best_branch_rank,legacy_multi_branch_rank,final_rank,core_score,branch_score,branch_confidence,branch_member_count,support_ratio,applied_weight,bonus,positive_rescue_3,positive_rescue_5,false_boost_count,false_boost_rank_gain_sum,false_boost_mean_rank_gain,top3_false_boost,top5_false_boost
aoko_set_06,mixed,C021,Vilio,Current Baseline,{},10,2,5,10,56.27,64.50756448412699,0.7802,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C021,Vilio,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 1.0, ""support_mode"": ""sqrt""}",10,2,5,5,56.2661461715368,64.50756448412699,0.7802,2,0.5,0.5516847106817444,4.546664477388546,False,True,0,0.0,0.0,0,0
aoko_set_06,mixed,C021,Vilio,Dynamic Blend,"{""confidence_threshold"": 0.55, ""max_branch_weight"": 0.5, ""support_mode"": ""sqrt""}",10,2,5,7,56.2661461715368,64.50756448412699,0.7802,2,0.5,0.2758423553408722,2.273332238694273,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C021,Vilio,RRF,"{""confidence_threshold"": 0.55, ""rrf_k"": 20, ""support_mode"": ""sqrt""}",10,2,5,8,56.2661461715368,64.50756448412699,0.7802,2,0.5,0.5629277085026105,,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C021,Vilio,Candidate Union,"{""confidence_threshold"": 0.55, ""stage2"": ""gated_lambda_1"", ""support_mode"": ""sqrt"", ""top_k"": 5}",10,2,5,5,56.2661461715368,64.50756448412699,0.7802,2,0.5,0.5516847106817444,4.546664477388546,False,True,0,0.0,0.0,0,0
