reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus
aoko,aoko_set_02,cohesive,Experiment B,C001;C021;C015,柳爱时;Vilio;Tyril I Lister,C014,Impey Barbicane,8,58.89155656376409,60.92629479288518,73.07692307692308,29.62962962962963,6.085659565521134,58.82,58.82,,12,12,12,1.0102
aoko,aoko_set_02,cohesive,Experiment C,C001;C021;C015,柳爱时;Vilio;Tyril I Lister,C014,Impey Barbicane,7,61.26926307259861,62.69164419951978,76.92307692307692,25.925925925925927,5.3236093213068045,58.82,58.82,,12,12,12,1.0102
aoko,aoko_set_02,cohesive,Baseline,C001;C014;C015,柳爱时;Impey Barbicane;Tyril I Lister,C021,Vilio,5,67.87654115778814,65.1069480161519,84.61538461538461,18.51851851851852,4.021095945304111,65.12,65.12,,6,6,6,0.4821
aoko,aoko_set_02,cohesive,Experiment A,C001;C014;C015,柳爱时;Impey Barbicane;Tyril I Lister,C021,Vilio,5,67.97021223374612,66.2162440921099,84.61538461538461,18.51851851851852,3.8023459453041113,65.12,65.12,,6,6,6,0.4821
aoko,aoko_set_02,cohesive,Experiment B,C001;C014;C015,柳爱时;Impey Barbicane;Tyril I Lister,C021,Vilio,5,68.18864931110224,65.42722825660489,84.61538461538461,18.51851851851852,3.947209047323156,65.12,65.12,,6,6,6,0.4821
aoko,aoko_set_02,cohesive,Experiment C,C001;C014;C015,柳爱时;Impey Barbicane;Tyril I Lister,C021,Vilio,5,68.28408817641278,66.53363948184857,84.61538461538461,18.51851851851852,3.7154648209940717,65.12,65.12,,6,6,6,0.4821
aoko,aoko_set_02,cohesive,Baseline,C001;C014;C021,柳爱时;Impey Barbicane;Vilio,C015,Tyril I Lister,11,57.58505646764749,54.617835982130956,61.53846153846154,40.74074074074074,7.713391406521282,54.63,54.63,55.6,12,12,12,0.0
aoko,aoko_set_02,cohesive,Experiment A,C001;C014;C021,柳爱时;Impey Barbicane;Vilio,C015,Tyril I Lister,11,56.40005646764749,54.58252348213096,61.53846153846154,40.74074074074074,7.306497572298994,54.63,54.63,55.6,12,12,12,0.0
aoko,aoko_set_02,cohesive,Experiment B,C001;C014;C021,柳爱时;Impey Barbicane;Vilio,C015,Tyril I Lister,12,57.05043102202389,54.15248543699141,57.69230769230769,44.44444444444444,7.312351843499194,54.63,54.63,55.6,12,12,12,0.0
aoko,aoko_set_02,cohesive,Experiment C,C001;C014;C021,柳爱时;Impey Barbicane;Vilio,C015,Tyril I Lister,13,55.91404380793552,54.153320597678565,53.84615384615385,48.148148148148145,6.5980638431130245,54.63,54.63,55.6,12,12,12,0.0
aoko,aoko_set_03,cohesive,Baseline,C024;C022;C025;C026,Allan Melville;光森壱哉;平重衡;YOFY,C019,缘,4,61.30648496240602,61.937254962406016,88.0,15.384615384615385,5.430916170634937,62.2,72.79,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment A,C024;C022;C025;C026,Allan Melville;光森壱哉;平重衡;YOFY,C019,缘,4,63.31065162907269,63.767411212406024,88.0,15.384615384615385,4.590343253968257,62.2,72.79,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment B,C024;C022;C025;C026,Allan Melville;光森壱哉;平重衡;YOFY,C019,缘,4,61.31608833789459,61.931694630402504,88.0,15.384615384615385,4.323082617540656,62.2,72.79,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment C,C024;C022;C025;C026,Allan Melville;光森壱哉;平重衡;YOFY,C019,缘,4,63.31863278410561,63.762751473734184,88.0,15.384615384615385,3.373596776716006,62.2,72.79,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Baseline,C019;C022;C025;C026,缘;光森壱哉;平重衡;YOFY,C024,Allan Melville,4,60.07053571428571,60.41925772321428,88.0,15.384615384615385,6.691107094294594,61.42,72.0,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment A,C019;C022;C025;C026,缘;光森壱哉;平重衡;YOFY,C024,Allan Melville,4,61.72172619047619,62.00527409226191,88.0,15.384615384615385,5.975837207930951,61.42,72.0,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment B,C019;C022;C025;C026,缘;光森壱哉;平重衡;YOFY,C024,Allan Melville,4,60.110423919814046,60.435229838084005,88.0,15.384615384615385,5.564966238927916,61.42,72.0,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Experiment C,C019;C022;C025;C026,缘;光森壱哉;平重衡;YOFY,C024,Allan Melville,5,61.767868668012774,62.02901416741228,84.0,19.23076923076923,4.96369809679485,61.42,72.0,,4,1,4,0.0
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C025;C026,缘;Allan Melville;平重衡;YOFY,C022,光森壱哉,4,59.12044825605681,61.08536367272347,88.0,15.384615384615385,7.491684644660893,61.09,63.0,,4,4,4,0.0
