set_id,kind,target_id,target_name,selected_ids,old_rank,new_rank,rank_change,classification,old_top1_score,old_top5_score,old_top5_spread,new_top1_score,new_top5_score,new_top5_spread,new_top5_ids,expanded_candidates_in_top5,expanded_candidates_above_positive,positive_rescue_bonus
aoko_set_01,cohesive,C019,缘,C024;C015;C005,1,1,0,STABLE,70.21761782140037,60.682315224553165,9.535302596847202,70.21761782140037,62.29813865544113,7.919479165959238,C019;C006;C049;C028;C043,2,0,0.0
aoko_set_01,cohesive,C024,Allan Melville,C019;C015;C005,2,2,0,STABLE,65.38813792307339,60.74043505681208,4.647702866261305,65.38813792307339,62.698653948822894,2.689483974250493,C006;C024;C049;C028;C043,2,0,0.0
aoko_set_01,cohesive,C015,Tyril I Lister,C019;C024;C005,10,19,-9,WORSE,65.58727167405326,61.823448816228264,3.763822857824991,67.3748244154706,62.044479687860466,5.330344727610132,C049;C028;C006;C016;C038,2,9,0.0
aoko_set_01,cohesive,C005,杨,C019;C024;C015,13,21,-8,WORSE,62.40263300669386,60.69548103446879,1.7071519722250699,64.95362660616976,61.9863085643797,2.9673180417900653,C043;C051;C038;C028;C006,3,8,0.0
aoko_set_02,cohesive,C001,柳爱时,C014;C021;C015,9,14,-5,WORSE,72.5772474822728,64.78178297936395,7.7954645029088425,72.5772474822728,64.78178297936395,7.7954645029088425,C030;C017;C009;C004;C031,0,5,0.8358433496085603
aoko_set_02,cohesive,C014,Impey Barbicane,C001;C021;C015,12,19,-7,WORSE,68.05976075723528,65.38237822188175,2.67738253535353,68.05976075723528,65.8731202017907,2.1866405554445834,C017;C011;C010;C031;C037,1,7,0.0
aoko_set_02,cohesive,C021,Vilio,C001;C014;C015,6,8,-2,WORSE,69.15731358646207,65.87846150321725,3.2788520832448143,69.15731358646207,66.65629523632164,2.501018350140427,C017;C037;C031;C009;C034,2,2,0.0
aoko_set_02,cohesive,C015,Tyril I Lister,C001;C014;C021,12,32,-20,WORSE,71.04741475618958,66.69578577860071,4.351628977588874,71.04741475618958,69.65592089016498,1.3914938660246037,C030;C009;C017;C037;C004,1,20,0.0
aoko_set_03,cohesive,C019,缘,C024;C022;C025;C026,1,1,0,STABLE,68.0143351356163,60.922967642171066,7.09136749344524,68.0143351356163,60.963911981818974,7.0504231537973325,C019;C028;C013;C029;C069,1,0,5.816205675218331
aoko_set_03,cohesive,C024,Allan Melville,C019;C022;C025;C026,2,2,0,STABLE,67.52266828398885,61.29132617824269,6.231342105746158,67.52266828398885,63.12569370858569,4.396974575403156,C028;C024;C029;C013;C049,1,0,5.747337203201911
aoko_set_03,cohesive,C022,光森壱哉,C019;C024;C025;C026,4,5,-1,WORSE,67.47657458194001,61.49337533710873,5.983199244831283,67.47657458194001,62.156916444892985,5.319658137047028,C028;C013;C029;C038;C022,1,1,1.071552772169503
aoko_set_03,cohesive,C025,平重衡,C019;C024;C022;C026,7,16,-9,WORSE,66.05421293163099,61.14243336612489,4.9117795655060945,66.05421293163099,63.07385277912285,2.9803601525081334,C028;C029;C013;C051;C038,2,9,1.3213505486883372
aoko_set_03,cohesive,C026,YOFY,C019;C024;C022;C025,11,20,-9,WORSE,69.33827588338744,60.83827125504858,8.500004628338857,69.33827588338744,63.21142647812458,6.12684940526286,C028;C029;C049;C038;C069,3,9,1.3827981002219643
aoko_set_04,mixed,C005,杨,C001;C014;C026;C025,26,61,-35,WORSE,66.36699954413241,63.104490589837496,3.2625089542949155,66.36699954413241,64.46035055775583,1.906648986376581,C017;C030;C009;C037;C021,1,35,3.8121639898081328
