character_id,character_name,game,series,route_type,visual_maturity,physical_presence,hair_length,hair_color,eye_tags,appearance_details,visual_vibe_tags,warmth,extroversion,emotional_expression,personality_maturity,humor,cunning,emotional_stability,personality_tags,danger_level,mystery_level,gap_moe,age_position_tags,role_fantasy_tags,relationship_trope_tags,archetype_tags,initiative,possessiveness,protectiveness,dependence,jealousy,push_pull,devotion,control,romance_tags,keywords
C001,柳爱时,Collar×Malice,Collar×Malice,攻略角色,5,3,短发,黑发,温柔眼,,成年人感;精英感,4,3,3,5,3,2,5,沉稳;温柔;责任感强,2,2,3,年上,警察;普通社会人,并肩作战;保护者×被保护者,可靠系;保护者,4,2,5,2,2,2,5,1,安全型恋爱;陪伴型;成年人恋爱;纯爱,警察;成熟;可靠;保护者
C002,冈崎契,Collar×Malice,Collar×Malice,攻略角色,3,3,中长发,白发,细长眼;无机质眼神,耳饰,神秘感;无害感,3,4,3,3,4,3,3,天然;表里不一;强势,4,4,5,同龄;护卫,,并肩作战;保护者×被保护者,神秘系;黑切白;保护者,4,3,4,3,3,4,4,2,拉扯型;唯一例外;强情绪浓度,护卫;神秘;反差
C003,笹塚尊,Collar×Malice,Collar×Malice,攻略角色,2,2,短发,棕发,猫系眼;锐利眼,眼镜,精英感;少年感,2,2,2,3,3,4,4,傲娇;毒舌;理性;嘴硬心软,2,3,5,年下,黑客,欢喜冤家,猫系;天才,3,2,,2,3,4,4,2,慢热;纯爱,毒舌;黑客;甜食
